1	Joel Embiid	29	PHI	C	39	39	33.6	11.5	21.8	.529	1.4	3.6	.388	10.2	18.3	.556	.561	10.2	11.6	.883	2.4	8.6	11.0	5.6	1.2	1.7	3.8	2.9	34.7	AS
2	Luka Dončić	24	DAL	PG	70	70	37.5	11.5	23.6	.487	4.1	10.6	.382	7.4	13.0	.573	.573	6.8	8.7	.786	0.8	8.4	9.2	9.8	1.4	0.5	4.0	2.1	33.9	MVP-3,CPOY-6,AS,NBA1
3	Giannis Antetokounmpo	29	MIL	PF	73	73	35.2	11.5	18.8	.611	0.5	1.7	.274	11.0	17.1	.645	.624	7.0	10.7	.657	2.7	8.8	11.5	6.5	1.2	1.1	3.4	2.9	30.4	MVP-4,DPOY-9,CPOY-12,AS,NBA1
4	Shai Gilgeous-Alexander	25	OKC	PG	75	75	34.0	10.6	19.8	.535	1.3	3.6	.353	9.3	16.2	.576	.567	7.6	8.7	.874	0.9	4.7	5.5	6.2	2.0	0.9	2.2	2.5	30.1	MVP-2,DPOY-7,CPOY-3,AS,NBA1
5	Jalen Brunson	27	NYK	PG	77	77	35.4	10.3	21.4	.479	2.7	6.8	.401	7.5	14.6	.516	.543	5.5	6.5	.847	0.6	3.1	3.6	6.7	0.9	0.2	2.4	1.9	28.7	MVP-5,CPOY-5,AS,NBA2
6	Devin Booker	27	PHO	PG	68	68	36.0	9.4	19.2	.492	2.2	6.1	.364	7.2	13.0	.552	.550	6.0	6.7	.886	0.8	3.7	4.5	6.9	0.9	0.4	2.6	3.0	27.1	AS,NBA3
7	Kevin Durant	35	PHO	PF	75	75	37.2	10.0	19.1	.523	2.2	5.4	.413	7.8	13.7	.567	.581	4.8	5.6	.856	0.5	6.1	6.6	5.0	0.9	1.2	3.3	1.8	27.1	MVP-9,AS,NBA2
8	Jayson Tatum	25	BOS	PF	74	74	35.7	9.1	19.3	.471	3.1	8.2	.376	6.0	11.0	.542	.552	5.6	6.7	.833	0.9	7.2	8.1	4.9	1.0	0.6	2.5	2.0	26.9	MVP-6,CPOY-9,AS,NBA1
9	De'Aaron Fox	26	SAC	PG	74	74	35.9	9.7	20.9	.465	2.9	7.8	.369	6.8	13.1	.522	.534	4.2	5.7	.738	0.9	3.7	4.6	5.6	2.0	0.4	2.6	2.6	26.6	CPOY-12
10	Donovan Mitchell	27	CLE	SG	55	55	35.3	9.1	19.8	.462	3.3	9.0	.368	5.8	10.8	.539	.545	5.0	5.8	.865	0.8	4.3	5.1	6.1	1.8	0.5	2.8	2.1	26.6	AS
11	Stephen Curry	35	GSW	PG	74	74	32.7	8.8	19.5	.450	4.8	11.8	.408	4.0	7.7	.515	.573	4.0	4.4	.923	0.5	4.0	4.5	5.1	0.7	0.4	2.8	1.6	26.4	CPOY-1,AS,NBA3
12	Nikola Jokić	28	DEN	C	79	79	34.6	10.4	17.9	.583	1.1	2.9	.359	9.4	14.9	.626	.612	4.5	5.5	.817	2.8	9.5	12.4	9.0	1.4	0.9	3.0	2.5	26.4	MVP-1,CPOY-4,AS,NBA1
13	Anthony Edwards	22	MIN	SG	79	78	35.1	9.1	19.7	.461	2.4	6.7	.357	6.7	13.0	.515	.522	5.4	6.4	.836	0.7	4.8	5.4	5.1	1.3	0.5	3.1	1.8	25.9	MVP-7,CPOY-8,AS,NBA2
14	Tyrese Maxey	23	PHI	PG	70	70	37.5	9.1	20.3	.450	3.0	8.1	.373	6.1	12.1	.501	.524	4.7	5.4	.868	0.5	3.2	3.7	6.2	1.0	0.5	1.7	2.2	25.9	MIP-1,AS
15	LeBron James	39	LAL	PF	71	71	35.3	9.6	17.9	.540	2.1	5.1	.410	7.5	12.8	.592	.599	4.3	5.7	.750	0.9	6.4	7.3	8.3	1.3	0.5	3.5	1.1	25.7	CPOY-10,AS,NBA3
16	Trae Young	25	ATL	PG	54	54	36.0	8.0	18.7	.430	3.2	8.7	.373	4.8	10.0	.479	.516	6.4	7.5	.855	0.4	2.3	2.8	10.8	1.3	0.2	4.4	2.0	25.7	AS
17	Kyrie Irving	31	DAL	SG	58	58	35.0	9.7	19.5	.497	3.0	7.3	.411	6.7	12.2	.548	.573	3.3	3.6	.905	0.8	4.2	5.0	5.2	1.3	0.5	1.8	1.9	25.6	CPOY-7
18	Ja Morant	24	MEM	PG	9	9	35.3	8.9	18.9	.471	1.6	5.7	.275	7.3	13.2	.555	.512	5.8	7.1	.813	0.7	4.9	5.6	8.1	0.8	0.6	3.0	2.1	25.1	
19	Anthony Davis	30	LAL	C	76	76	35.5	9.4	16.9	.556	0.4	1.4	.271	9.0	15.5	.582	.567	5.5	6.8	.816	3.1	9.5	12.6	3.5	1.2	2.3	2.1	2.3	24.7	DPOY-4,AS,NBA2
20	Damian Lillard	33	MIL	PG	73	73	35.3	7.4	17.5	.424	3.0	8.5	.354	4.4	9.0	.490	.510	6.5	7.0	.920	0.5	3.9	4.4	7.0	1.0	0.2	2.6	1.8	24.3	CPOY-11,AS
21	DeMar DeRozan	34	CHI	SF	79	79	37.8	8.2	17.2	.480	0.9	2.8	.333	7.3	14.3	.509	.507	6.6	7.7	.853	0.5	3.8	4.3	5.3	1.1	0.6	1.7	2.0	24.0	CPOY-2
22	Julius Randle	29	NYK	PF	46	46	35.4	8.6	18.2	.472	1.7	5.3	.311	6.9	12.9	.539	.518	5.1	6.6	.781	2.2	7.0	9.2	5.0	0.5	0.3	3.5	2.7	24.0	AS
23	LaMelo Ball	22	CHO	PG	22	22	32.3	8.3	19.2	.433	3.2	9.0	.355	5.1	10.3	.500	.515	4.1	4.7	.865	1.3	3.8	5.1	8.0	1.8	0.2	3.8	3.6	23.9	
24	Desmond Bane	25	MEM	SG	42	42	34.4	8.6	18.5	.464	3.3	8.6	.381	5.3	9.9	.536	.552	3.3	3.8	.870	0.9	3.5	4.4	5.5	1.0	0.5	2.7	2.9	23.7	
25	Kawhi Leonard	32	LAC	SF	68	68	34.3	9.0	17.1	.525	2.1	4.9	.417	6.9	12.1	.569	.585	3.7	4.2	.885	1.2	4.9	6.1	3.6	1.6	0.9	1.8	1.4	23.7	AS,NBA2
26	Lauri Markkanen	26	UTA	PF	55	55	33.1	7.8	16.2	.480	3.2	8.0	.399	4.6	8.2	.559	.578	4.5	5.0	.899	2.2	5.9	8.2	2.0	0.9	0.5	1.4	1.8	23.2	
27	Jaylen Brown	27	BOS	SF	70	70	33.5	9.0	17.9	.499	2.1	5.9	.354	6.9	12.1	.570	.557	3.0	4.3	.703	1.2	4.3	5.5	3.6	1.2	0.5	2.4	2.6	23.0	AS
